Date,Adjclose,Return
1/3/00,1441.469971,
1/10/00,1465.150024,1.63%
1/18/00,1441.359985,-1.64%
1/24/00,1360.160034,-5.80%
1/31/00,1424.369995,4.61%
2/7/00,1387.119995,-2.65%
2/14/00,1346.089966,-3.00%
2/22/00,1333.359985,-0.95%
2/28/00,1409.170044,5.53%
3/6/00,1395.069946,-1.01%
3/13/00,1464.469971,4.85%
3/20/00,1527.459961,4.21%
3/27/00,1498.579956,-1.91%
4/3/00,1516.349976,1.18%
4/10/00,1356.560059,-11.14%
4/17/00,1434.540039,5.59%
4/24/00,1452.430054,1.24%
5/1/00,1432.630005,-1.37%
5/8/00,1420.959961,-0.82%
5/15/00,1406.949951,-0.99%
5/22/00,1378.02002,-2.08%
5/30/00,1477.26001,6.95%
6/5/00,1456.949951,-1.38%
6/12/00,1464.459961,0.51%
6/19/00,1441.47998,-1.58%
6/26/00,1454.599976,0.91%
7/3/00,1478.900024,1.66%
7/10/00,1509.97998,2.08%
7/17/00,1480.189941,-1.99%
7/24/00,1419.890015,-4.16%
7/31/00,1462.930054,2.99%
8/7/00,1471.839966,0.61%
8/14/00,1491.719971,1.34%
8/21/00,1506.449951,0.98%
8/28/00,1520.77002,0.95%
9/5/00,1494.5,-1.74%
9/11/00,1465.810059,-1.94%
9/18/00,1448.719971,-1.17%
9/25/00,1436.51001,-0.85%
10/2/00,1408.98999,-1.93%
10/9/00,1374.170044,-2.50%
10/16/00,1396.930054,1.64%
10/23/00,1379.579956,-1.25%
10/30/00,1426.689941,3.36%
11/6/00,1365.97998,-4.35%
11/13/00,1367.719971,0.13%
11/20/00,1341.77002,-1.92%
11/27/00,1315.22998,-2.00%
12/4/00,1369.890015,4.07%
12/11/00,1312.150024,-4.31%
12/18/00,1305.949951,-0.47%
12/26/00,1320.280029,1.09%
1/2/01,1298.349976,-1.67%
1/8/01,1318.550049,1.54%
1/16/01,1342.540039,1.80%
1/22/01,1354.949951,0.92%
1/29/01,1349.469971,-0.41%
2/5/01,1314.76001,-2.61%
2/12/01,1301.530029,-1.01%
2/20/01,1245.859985,-4.37%
2/26/01,1234.180054,-0.94%
3/5/01,1233.420044,-0.06%
3/12/01,1150.530029,-6.96%
3/19/01,1139.829956,-0.93%
3/26/01,1160.329956,1.78%
4/2/01,1128.430054,-2.79%
4/9/01,1183.5,4.76%
4/16/01,1242.97998,4.90%
4/23/01,1253.050049,0.81%
4/30/01,1266.609985,1.08%
5/7/01,1245.670044,-1.67%
5/14/01,1291.959961,3.65%
5/21/01,1277.890015,-1.10%
5/29/01,1260.670044,-1.36%
6/4/01,1264.959961,0.34%
6/11/01,1214.359985,-4.08%
6/18/01,1225.349976,0.90%
6/25/01,1224.380005,-0.08%
7/2/01,1190.589966,-2.80%
7/9/01,1215.680054,2.09%
7/16/01,1210.849976,-0.40%
7/23/01,1205.819946,-0.42%
7/30/01,1214.349976,0.70%
8/6/01,1190.160034,-2.01%
8/13/01,1161.969971,-2.40%
8/20/01,1184.930054,1.96%
8/27/01,1133.579956,-4.43%
9/4/01,1085.780029,-4.31%
9/10/01,965.799988,-11.71%
9/24/01,1040.939941,7.49%
10/1/01,1071.380005,2.88%
10/8/01,1091.650024,1.87%
10/15/01,1073.47998,-1.68%
10/22/01,1104.609985,2.86%
10/29/01,1087.199951,-1.59%
11/5/01,1120.310059,3.00%
11/12/01,1138.650024,1.62%
11/19/01,1150.339966,1.02%
11/26/01,1139.449951,-0.95%
12/3/01,1158.310059,1.64%
12/10/01,1123.089966,-3.09%
12/17/01,1144.890015,1.92%
12/24/01,1161.02002,1.40%
12/31/01,1172.51001,0.98%
1/7/02,1145.599976,-2.32%
1/14/02,1127.579956,-1.59%
1/22/02,1133.280029,0.50%
1/28/02,1122.199951,-0.98%
2/4/02,1096.219971,-2.34%
2/11/02,1104.180054,0.72%
2/19/02,1089.839966,-1.31%
2/25/02,1131.780029,3.78%
3/4/02,1164.310059,2.83%
3/11/02,1166.160034,0.16%
3/18/02,1148.699951,-1.51%
3/25/02,1147.390015,-0.11%
4/1/02,1122.72998,-2.17%
4/8/02,1111.01001,-1.05%
4/15/02,1125.170044,1.27%
4/22/02,1076.319946,-4.44%
4/29/02,1073.430054,-0.27%
5/6/02,1054.98999,-1.73%
5/13/02,1106.589966,4.78%
5/20/02,1083.819946,-2.08%
5/28/02,1067.140015,-1.55%
6/3/02,1027.530029,-3.78%
6/10/02,1007.27002,-1.99%
6/17/02,989.140015,-1.82%
6/24/02,989.820007,0.07%
7/1/02,989.030029,-0.08%
7/8/02,921.390015,-7.08%
7/15/02,847.75,-8.33%
7/22/02,852.840027,0.60%
7/29/02,864.23999,1.33%
8/5/02,908.640015,5.01%
8/12/02,928.77002,2.19%
8/19/02,940.859985,1.29%
8/26/02,916.070007,-2.67%
9/3/02,893.919983,-2.45%
9/9/02,889.809998,-0.46%
9/16/02,845.390015,-5.12%
9/23/02,827.369995,-2.15%
9/30/02,800.580017,-3.29%
10/7/02,835.320007,4.25%
10/14/02,884.390015,5.71%
10/21/02,897.650024,1.49%
10/28/02,900.960022,0.37%
11/4/02,894.73999,-0.69%
11/11/02,909.830017,1.67%
11/18/02,930.549988,2.25%
11/25/02,936.309998,0.62%
12/2/02,912.22998,-2.61%
12/9/02,889.47998,-2.53%
12/16/02,895.76001,0.70%
12/23/02,875.400024,-2.30%
12/30/02,908.590027,3.72%
1/6/03,927.570007,2.07%
1/13/03,901.780029,-2.82%
1/21/03,861.400024,-4.58%
1/27/03,855.700012,-0.66%
2/3/03,829.690002,-3.09%
2/10/03,834.890015,0.62%
2/18/03,848.169983,1.58%
2/24/03,841.150024,-0.83%
3/3/03,828.890015,-1.47%
3/10/03,833.27002,0.53%
3/17/03,895.789978,7.23%
3/24/03,863.5,-3.67%
3/31/03,878.849976,1.76%
4/7/03,868.299988,-1.21%
4/14/03,893.580017,2.87%
4/21/03,898.809998,0.58%
4/28/03,930.080017,3.42%
5/5/03,933.409973,0.36%
5/12/03,944.299988,1.16%
5/19/03,933.219971,-1.18%
5/27/03,963.590027,3.20%
6/2/03,987.76001,2.48%
6/9/03,988.609985,0.09%
6/16/03,995.690002,0.71%
6/23/03,976.219971,-1.97%
6/30/03,985.700012,0.97%
7/7/03,998.140015,1.25%
7/14/03,993.320007,-0.48%
7/21/03,998.679993,0.54%
7/28/03,980.150024,-1.87%
8/4/03,977.590027,-0.26%
8/11/03,990.669983,1.33%
8/18/03,993.059998,0.24%
8/25/03,1008.01001,1.49%
9/2/03,1021.390015,1.32%
9/8/03,1018.630005,-0.27%
9/15/03,1036.300049,1.72%
9/22/03,996.849976,-3.88%
9/29/03,1029.849976,3.26%
10/6/03,1038.060059,0.79%
10/13/03,1039.319946,0.12%
10/20/03,1028.910034,-1.01%
10/27/03,1050.709961,2.10%
11/3/03,1053.209961,0.24%
11/10/03,1050.349976,-0.27%
11/17/03,1035.280029,-1.45%
11/24/03,1058.199951,2.19%
12/1/03,1061.5,0.31%
12/8/03,1074.140015,1.18%
12/15/03,1088.660034,1.34%
12/22/03,1095.890015,0.66%
12/29/03,1108.47998,1.14%
1/5/04,1121.859985,1.20%
1/12/04,1139.829956,1.59%
1/20/04,1141.550049,0.15%
1/26/04,1131.130005,-0.92%
2/2/04,1142.76001,1.02%
2/9/04,1145.810059,0.27%
2/17/04,1144.109985,-0.15%
2/23/04,1144.939941,0.07%
3/1/04,1156.859985,1.04%
3/8/04,1120.569946,-3.19%
3/15/04,1109.780029,-0.97%
3/22/04,1108.060059,-0.16%
3/29/04,1141.810059,3.00%
4/5/04,1139.319946,-0.22%
4/12/04,1134.609985,-0.41%
4/19/04,1140.599976,0.53%
4/26/04,1107.300049,-2.96%
5/3/04,1098.699951,-0.78%
5/10/04,1095.699951,-0.27%
5/17/04,1093.560059,-0.20%
5/24/04,1120.680054,2.45%
6/1/04,1122.5,0.16%
6/7/04,1136.469971,1.24%
6/14/04,1135.02002,-0.13%
6/21/04,1134.430054,-0.05%
6/28/04,1125.380005,-0.80%
7/6/04,1112.810059,-1.12%
7/12/04,1101.390015,-1.03%
7/19/04,1086.199951,-1.39%
7/26/04,1101.719971,1.42%
8/2/04,1063.969971,-3.49%
8/9/04,1064.800049,0.08%
8/16/04,1098.349976,3.10%
8/23/04,1107.77002,0.85%
8/30/04,1113.630005,0.53%
9/7/04,1123.920044,0.92%
9/13/04,1128.550049,0.41%
9/20/04,1110.109985,-1.65%
9/27/04,1131.5,1.91%
10/4/04,1122.140015,-0.83%
10/11/04,1108.199951,-1.25%
10/18/04,1095.73999,-1.13%
10/25/04,1130.199951,3.10%
11/1/04,1166.170044,3.13%
11/8/04,1184.170044,1.53%
11/15/04,1170.339966,-1.17%
11/22/04,1182.650024,1.05%
11/29/04,1191.170044,0.72%
12/6/04,1188,-0.27%
12/13/04,1194.199951,0.52%
12/20/04,1210.130005,1.33%
12/27/04,1211.920044,0.15%
